292.05846774193554,398.4043715846994,Automation & Orchestration: Target,43.52%

371.5483870967742,227.52224824355972,Automation & Orchestration: Advanced,35.51%

99.1391129032258,387.24121779859485,Visibility & Analytics: Target,90.36%

106.28427419354841,214.6416861826698,Visibility & Analytics: Advanced,53.93%

488.5504032258065,421.5893832943013,Automation & Orchestration: Target,43.52%

613.5907258064517,268.74004683840747,Network & Environment: Advanced,36.19%

689.508064516129,451.6440281030445,Data: Target,28.38%

850.2741935483873,337.43637782982046,Data: Advanced,30.61%

864.5645161290324,539.231850117096,Application & Workload: Target,16.33%

1055.6975806451615,449.0679156908665,Application & Workload: Advanced,16.19%

1016.3991935483873,660.3091334894614,Device: Target,17.14%

1206.6391129032259,615.656518345043,Device: Advanced,15.87%

1103.9274193548388,840.6370023419204,User: Target,25.49%

1317.3891129032259,830.3325526932083,User: Advanced,28.10%

